id	filename	tokens	lemmas
1308609	tlg0057.tlg021.1st1K-grc1	ΓΑΛΗΝΟΥ ΠΕΡΙ ΣΠΕΡΜΑΤΟΣ ΒΙΒΛΙΟΝ Α.	.
1308610	tlg0057.tlg021.1st1K-grc1	Τίς ἡ χρεία καὶ τίς ἡ δύναμίς ἐστι τοῦ σπέρματος;	ὁ χρεία καί τις ὁ δύναμις εἰμί ὁ σπέρμα ;
1308611	tlg0057.tlg021.1st1K-grc1	ἆρά γε λόγον ἔχει δυοῖν ἀρχαῖν, ὑλικῆς τε καὶ δραστικῆς, ὡς Ἱπποκράτης ὑπελάμβανεν;	γε λόγος ἔχω   , ὑλικός τε καί  , ὡς Ἱπποκράτης  ;
1308612	tlg0057.tlg021.1st1K-grc1	ἢ τῆς ἑτέρας μόνης, τῆς ποιητικῆς, ὡς Ἀριστοτέλης οἴεται, ἀρχὴν μὲν κινήσεως ὑπ’ αὐτοῦ γίνεσθαι τῷ καταμηνίῳ νομίζων, οὐ μὴν ἐξ αὐτοῦ διαπλάττεσθαι τὸ ζῶον συγχωρῶν;	τίη ὁ ἕτερος μονή , ὁ ποιητικός , ὡς Ἀριστοτέλης οἴομαι , ἀρχή μέν κίνησις ὑπό αὐτός γίγνομαι τῷ  νομίζω , οὐ μήν ἐκ αὐτός διαπλάσσω ὁ  συγχωρέω ;
1308613	tlg0057.tlg021.1st1K-grc1	ἄξιον οὖν ἐπισκέψασθαι καὶ διακρῖναι τηλικούτων ἀνδρῶν διαφωνίαν, οὐ πιθανοῖς ἐπιτρέψαντες λόγοις, οἷς οἱ πλεῖστοι τῶν ἰατρῶν τε καὶ φιλοσόφων χαίρουσιν, ἀλλ’ ἐξ ἐναργῶν τε καὶ δι’ ἐναργῶν ἀποδεικνύντες.	ἄξιος οὖν ἐπισκοπέω καί διακρίνω τηλικοῦτος ἀνήρ διαφωνία , οὐ πιθανός ἐπιτρέπω λόγος , ὅς ὁ πλεῖστος ὁ ἰατρός τε καί φιλόσοφος χαίρω , ἀλλά ἐκ ἐναργής τε καί διά  ἀποδείκνυμι .
1308614	tlg0057.tlg021.1st1K-grc1	ἐπεὶ δὲ ἐκ τῆς περὶ ἑκάστου τῶν ζητουμένων ἐμπειρίας οἴεται χρῆναι καὶ Ἀριστοτέλης εἰς τὰς ἀποδείξεις λαμβάνεσθαι τὰ λήμματα, πρῶτον τοῦτο ἐπισκεψώμεθα ἀκριβῶς, πότερον ἔνδον μένει τὸ σπέρμα ταῖς μελλούσαις κυΐσκειν, ἢ καὶ συνεκκρίνεται.	ἐπεί δέ ἐκ ὁ περί ἕκαστος ὁ ζητέω ἐμπειρία οἴομαι χρή καί Ἀριστοτέλης εἰς ὁ ἀπόδειξις λαμβάνω ὁ λῆμμα , πρῶτος οὗτος  ἀκριβής , πότερος ἔνδον μένος ὁ σπέρμα ὁ μέλλω  , ἤ καί  .
1308615	tlg0057.tlg021.1st1K-grc1	Τριττὴν δ’ ἐγχωρεῖ ποιήσασθαι τὴν ἐπίσκεψιν, ἐναργεστάτην μὲν, ἣν πολλάκις κᾀγὼ ἐποιησάμην, ἵππους τε καὶ κύνας, καὶ ὄνους, καὶ βοῦς, αἶγάς τε καὶ πρόβατα παραφυλάξας, εἰ κατέχει τὸ σπέρμα ποτὲ μετὰ τὴν ὀχείαν, ἢ ἐκκρίνει διὰ παντός.	ἐγχωρέω ποιέω ὁ ἐπίσκεψις , ἐναργής μέν , ὅς πολλάκις  ποιέω , ἵππος τε καί κύων , καί ὄνος , καί βοῦς ,  τε καί πρόβατον παραφυλάσσω , εἰ κατέχω ὁ σπέρμα ποτε μετά ὁ ὀχεία , ἤ ἐκκρίνω διά πᾶς .
1308616	tlg0057.tlg021.1st1K-grc1	εὐθέως μὲν οὖν μοι καὶ κατὰ τὰς ἀρχὰς παρὰ τῶν τὰ τοιαῦτα δεινῶν ἐλέχθη, φασκόντων ἀκριβῶς τετηρηκέναι, τηνικαῦτα κατέχεσθαι τὸ σπέρμα τοῖς θήλεσι ζώοις, ὅταν κυΐσκειν μέλλοιεν.	εὐθύς μέν οὖν ἐγώ καί κατά ὁ ἀρχή παρά ὁ ὁ τοιοῦτος δεινόω λέγω , φάσκω ἀκριβής τηρέω , τηνικαῦτα κατέχω ὁ σπέρμα ὁ  ζωός , ὅταν  μέλλω .
1308617	tlg0057.tlg021.1st1K-grc1	ἀλλ’ εἴ τις καταγνῷ μου τόδε, ὁμολογῶ τὸ πάθος τοὐμὸν, ὃ παρ’ ὅλον ἐμαυτοῦ τὸν βίον ἔπαθον, οὐδενὶ πιστεύσας τῶν διηγουμένων τὰ τοιαῦτα, πρὶν πειραθῆναι καὶ αὐτὸς, ὧν δυνατὸν ἦν εἰς πεῖραν ἐλθεῖν με.	ἀλλά εἰ τις καταγιγνώσκω  ὅδε , ὁμολογέω ὁ πάθος  , ὅς παρά ὅλος ἐμαυτοῦ ὁ βίος πάσχω ,  πιστεύω ὁ  ὁ τοιοῦτος , πρίν πειράω καί αὐτός , ὅς δυνατός εἰμί εἰς πεῖρα ἔρχομαι  .
1308618	tlg0057.tlg021.1st1K-grc1	οὔκουν οὐδὲ περὶ τούτου τοῖς αὐτόπταις φάσκουσι γεγονέναι πολλάκις ὧν διηγοῦνται πιστεύειν ἔμελλον μόνοις, εἰ καὶ ὅτι μάλιστα συμφωνοῦντας ἑώρων αὐτοὺς, ἀλλὰ τῇ συνήθει χρώμενος ἀπιστίᾳ διττὴν ἐποιησάμην τὴν βάσανον, ἑτέραν μὲν ἐπὶ τοῖς ἐκκρίνασι τὸ σπέρμα ζώοις, ἑτέραν δὲ ἐπὶ τοῖς κατασχοῦσιν.	οὐκοῦν οὐδέ περί οὗτος ὁ  φάσκω γίγνομαι πολλάκις ὅς διηγέομαι πιστεύω μέλλω  , εἰ καί ὅτι2 μάλιστα συμφωνέω ὁράω αὐτός , ἀλλά ὁ  χράω2 ἀπιστία δισσός ποιέω ὁ βάσανος , ἕτερος μέν ἐπί ὁ  ὁ σπέρμα ζήω , ἕτερος δέ ἐπί ὁ  .
